"Term"	"English Definition"
"account"	"A detailed record of money spent and received"
"account code"	"-"
"account hierarchy"	"the tree view of all accounts"
"account name"	"-"
"account type: Asset"	"A thing, esp. owned by a person or company, that has value and can be used or sold to pay debts"
"account type: checking"	"(esp. US) (Brit = current account) a bank account from which money can be withdrawn without previous notice"
"account type: currency"	"-"
"account type: Equity"	"see: Equity"
"account type: Expense"	"-"
"account type: Income"	"-"
"account type: Liability"	"A debt, a financial obligation"
"account type: money-market"	"-"
"account type: Mutual fund"	"-"
"account type: saving"	"1. (US) any type of account that earns interest 2. (Brit) any type of bank account that earns a higher level of interest than a current account or deposit account"
"account type: Stock"	"-"
"account: parent account"	"-"
"account: subaccount"	"-"
"account: top level account"	"-"
"Action (register)"	"The process of doing something that caused a transaction to happen"
"action: ATM"	"Automated teller machine"
"action: autoDep"	"Transaction was an auto deposit"
"action: buy"	"-"
"action: deposit"	"-"
"action: direct debit"	"When people can automatically deduct money straight from your account. The reverse of Direct Deposit."
"action: dist"	"transaction is a distribution (???)"
"action: div"	"transaction is a dividend"
"action: fee"	"-"
"action: int"	"transaction comes from interest"
"action: loan"	"-"
"action: payment"	"see: payment 1."
"action: POS"	"-"
"action: rebate"	"-"
"action: sell"	"-"
"action: Teller"	"-"
"action: transfer"	"see: transfer 2. (=credit transfer)"
"action: wire"	"-"
"action: withdraw"	"-"
"amount"	"A sum of money"
"average"	"The result of adding several amounts together and then dividing this total by the number of amounts"
"balance (noun)"	"The amount of money that is in one's account"
"balance sheet"	"A written record of money received and paid out, showing the difference between the two total amounts"
"balance, to"	"To arrange for income and spending to be equal"
"bank"	"-"
"business (adjective)"	"-"
"capital gains"	"Profits made from the sale of investments or property"
"case sensitive"	"Distinguishing the uppercase and lowercase letters"
"cash"	"Money in coins or notes"
"check"	"(esp. US) (= cheque) A special printed form on which one writes an order to a bank to pay a sum of money from one's account to another person"
"check and repair, to"	"To repair unbalanced transactions and orphan splits in an account tree. Any transactions that have debits != credits will get a balancing split added (pointing to a special new account called 'Imbalance'). Any splits that do not have accounts are put into another special account called 'Orphan'. Formerly known as 'to scrub'."
"close, to"	"To end an application's relationship with an open file so that the application will no longer be able to access the file without opening it again. "
"commodity"	"An article that is bought and sold. The most general term of what an account keeps track of, e.g. a currency or a stock."
"commodity listing"	"e.g. NASDAQ"
"commodity option: fraction"	"the smallest amount of a commodity that's traded (e.g. 1/100 for USD, 1 for most stocks)"
"commodity option: Symbol"	"e.g. USD, DEM"
"Credit (column in register)"	"(a) A sum of money paid into an account. (b) A record of such a payment. (c) The state of having money in one's bank account."
"Credit Card"	"-"
"credit transfer"	"A transfer of money direct from one bank account to another, without using a cheque"
"currency"	"The system of money used in a country"
"Custom"	"Custom print format (i.e. according to the user's wishes) as opposed to a template choice."
"database"	"The backend where the data is stored."
"Date"	"A specific numbered day of the month"
"date format"	"DD/MM/YY or MM/DD/YY or something else"
"date range"	"A range in time that is delimited by two distinct dates."
"Debit (column in register)"	"(a) A written note in an account of a sum owed or paid out. (b) A sum withdrawn from an account."
"default"	"Each option has a default setting that it is shipped with, until the user changes the setting."
"deposit (in the reconcile dialog)"	"see credit"
"depreciation"	"The process of something becoming less valuable"
"Description (column in register)"	"1. One textfield per transaction. The text in it should describe what the transaction was about. A short descriptive phrase (up to 40 chars) 2. One textfield per account. It is intended to be a longer, 1-5 sentence description of what this account is all about."
"double entry"	"Important Buzzword :)"
"equity"	"1. The money value of a property after all charges on it have been paid. Equity isn't debt, it's a representation of long-term capital (So combining it with liability isn't really very meaningful, except in the balance sheet. 2. (a) The value of the shares issued by  a company. (b) Ordinary stocks and shares that carry no fixed interest."
"exchange rate"	"The relation in value between the money used in different countries"
"field"	"in the account creation dialog??"
"file"	"Any piece of information (text, graphics, executable) put together and given a name. All the information you have on the hard drive is arranged as a collection of  files."
"file type"	"-"
"financial calculator: interest rate"	"-"
"financial calculator: payments"	"see: payment"
"gain"	"An increase in wealth; profit; advantage (See also: capital gains)"
"imbalance"	"Name of an automaticly created account to get imbalanced transactions back in balance"
"import"	"Process of extracting data from a non-Gnucash format into a Gnucash file. E.g. QIF Import."
"interest"	"Money charged for borrowing money, or paid to somebody who invests money"
"invoice"	"A list of goods sold or services provided together with the prices charged; a bill"
"ledger"	"A book in which a bank, business firm, etc. records its financial accounts"
"liabilities/equity"	"The heading for the right side of the balance sheet. See also: Equity."
"loss"	"The money lost in business activity"
"Lost Accounts"	"name of an automatically created account"
"marker"	"The thing that the scatter plot uses to mark each data point"
"MDI modus"	"The way how more than one window is displayed in GnuCash at the same time. MDI = Multiple Document Interface."
"Memo"	"One textfield per split that should help you remember what this split was about."
"national currency"	"e.g. USD, DEM, see Currency."
"net"	"(of money) remaining when nothing more is to be taken away"
"net assets"	"net total of all assets"
"net profit"	"The total income minus the total expenses of a given time period."
"net worth"	"Your net worth is your assets minus your liabilities. If your accounts are balanced, your net worth should equal your equity plus your net profit."
"notes (register)"	"One textfield per transaction that can hold explanatory text about the transaction."
"Num (column in register)"	"Abbreviation for: number; Field in a transaction. If this transaction was done by check, then the check number should be noted in this field."
"open, to"	"to make accessible"
"opening balance"	"If an account starts with a non-zero balance, then this amount is called the opening balance."
"options"	"A menu choice in the graphical user interface that allows the user to specify how the application will act each time it is used. "
"orphan"	"Name of an automatically created account that holds splits that have no account."
"passphrase"	"A secret phrase that one needs to know in order to get access to a user account "
"Payables/Receivables"	"An amount that must be paid / An amount for which money has not yet been received"
"payee"	"A person to whom sth is paid"
"payer"	"A person who pays or who has to pay for sth"
"payment"	"1. The action of paying sb/sth or of being paid. 2. A sum of money paid."
"placeholder"	"An account where no transactions may be posted to; transactions can only be posted to subaccounts of this account, so this account serves as a placeholder in the hierarchy"
"portfolio"	"A set of investments owned by a person"
"preferences"	"A menu choice in many graphical user interface applications that allows the user to specify how the application will act each time it is used. "
"price (in a split)"	"An amount of money for which sth may be bought or sold"
"price type: ask"	"An ask is an offer to sell, and the price you want to sell at."
"price type: bid"	"A bid is an offer to buy, and the price you want to buy at."
"price: quotes"	"online quotes (rather: quotation!?) A statement of the current price of stocks or commodities"
"profit"	"Money gained in business, esp. the difference between the amount earned and the amount spent"
"Profit & Loss"	"(rather: profit and loss account!?) A list that shows the amount of money spent compared with the amount earned by a business in a particular period"
"quick-fill"	"-"
"rebalance, to (a transaction)"	"-"
"reconcile, to"	"reconcile an account, a reconciled split. To find a way to make the bank's account statement agree with the user's recorded transactions in an account."
"record keeping"	"-"
"register"	"A list of items; a book containing such a list"
"register entry: split transaction"	"A transaction that is divided into two or more parts"
"register entry: stock split"	"-"
"register: auto-split ledger"	"one form of register"
"register: basic ledger"	"another form of register"
"register: general ledger"	"another form of register"
"register: transaction journal"	"another form of register"
"reload, to"	"reload the current document"
"Retained Earnings"	"name of an equity account (?); to be distinguished from the opening balance."
"save, to (to a file)"	"To write data (typically a file) to a storage medium, such as a disk or tape."
"Scheduled Transaction"	"A transaction or reminder of a transaction that can be automatically executed at a specific time. It can be executed either once, or several times at regular intervals."
"scrub, to"	"DEPRECATED. To repair unbalanced transactions and orphan splits in an account tree. Any transactions that have debits != credits will get a balancing split added (pointing to a special new account called 'Imbalance'). Any splits that do not have accounts are put into another special account called 'Orphan'. Deprecated - use the term 'to check and repair' now."
"security"	"A document or certificate showing who owns shares"
"Share Balance (register)"	"-"
"shares"	"Any of the equal parts into which the money of a business company is divided, giving the holder a right to a portion of the profits"
"source"	"(of a price) A place wfrom which sth comes or is obtained"
"split"	"One of the two or several parts a transaction is divided into"
"style sheet"	"This sets the particular design or shape of a report."
"subtotal"	"The total of a set of figures that are part of a larger group of figures"
"tax info"	"field of an account"
"template"	"if you create a new e.g. style sheet, you can start from a template"
"time period"	"see: date range"
"Tot"	"as abbreviation for Total"
"total"	"The full number or amount: total of some balances, of any account's running balance etc."
"transaction"	"A piece of business done; the transfer of money from one account to one or more other accounts. (see also: Scheduled Transaction)"
"transaction state: cleared"	"A transaction whose amount has actually been moved. The word comes from checks: a check is issued, but several steps have to be done until the amount is actually retrieved from the bank account, which is the point in time where that transaction (check) gets cleared."
"transaction state: frozen"	"-"
"transaction state: reconciled"	"A transaction that was reconciled with the bank's statement."
"transfer (noun)"	"1. The action of transferring sth. 2. see: credit transfer"
"transfer account"	"The account where an amount is transferred to"
"transfer, to (register toolbar)"	"To move money from one account to another. Will create a transaction."
"type"	"A class or things that have characteristics in common; type of an account, of a commodity etc."
"units"	"A fixed amount or number used as a standard of measurement; e.g. millimeters, inch; for absolute positioning in the custom check format."
"URL"	"-"
"value (in a split)"	"The worth of sth in terms of money or other commodities for which it can be exchanged"
"withdraw (in the reconcile dialog)"	"see debit"
