"Glossary of terms for Gnucash"
"Last edited: 2001-06-02 21:00+0200 by Christian Stimming <stimming@tuhh.de>"

"Term"	"Explanation"	"DE currently"	"DE proposed"	"DA"	"FR"	"JA"	"pt_PT"
"account"	"A detailed record of money spent and received"	"Konto"	"-"	"-"	"-"	"-"	"-"
"account code"	"-"	"Kontonummer (intern)"	"-"	"-"	"-"	"-"	"-"
"account name"	"-"	"Kontobezeichnung"	"-"	"-"	"-"	"-"	"-"
"account type: Asset"	"A thing, esp. owned by a person or company, that has value and can be used or sold to pay debts"	"Anlagevermögen"	"(Aktiva?)"	"-"	"-"	"-"	"-"
"account type: checking"	"(esp. US) (Brit = current account) a bank account from which money can be withdrawn without previous notice"	"Girokonto"	"-"	"-"	"-"	"-"	"-"
"account type: Equity"	"see: Equity"	"Eigenkapital"	"-"	"-"	"-"	"-"	"-"
"account type: Expense"	"-"	"Ausgabe"	"-"	"-"	"-"	"-"	"-"
"account type: Income"	"-"	"Einnahme"	"-"	"-"	"-"	"-"	"-"
"account type: Liability"	"A debt, a financial obligation"	"Verbindlichkeiten"	"(Passiva?)"	"-"	"-"	"-"	"-"
"account type: money-market"	"-"	"Geldmarktfonds"	"-"	"-"	"-"	"-"	"-"
"account type: Mutual fund"	"-"	"Investmentfonds"	"-"	"-"	"-"	"-"	"-"
"account type: saving"	"1. (US) any type of account that earns interest 2. (Brit) any type of bank account that earns a higher level of interest than a current account or deposit account"	"Sparkonto"	"-"	"-"	"-"	"-"	"-"
"account type: Stock"	"-"	"Depot"	"-"	"-"	"-"	"-"	"-"
"account: parent account"	"-"	"Hauptkonto"	"-"	"-"	"-"	"-"	"-"
"account: subaccount"	"-"	"Unterkonto"	"-"	"-"	"-"	"-"	"-"
"account: top level account"	"-"	"Top-Level-Konto"	"(Oberkonto) ??"	"-"	"-"	"-"	"-"
"Action (register)"	"The process of doing something that caused a transaction to happen"	"Aktion"	"-"	"-"	"-"	"-"	"-"
"action: ATM"	"Automated teller machine"	"Geldautomat"	"-"	"-"	"-"	"-"	"-"
"action: autoDep"	"Transaction was an auto deposit"	"AutoDepot"	"Gutschrift"	"-"	"-"	"-"	"-"
"action: buy"	"-"	"Kauf"	"-"	"-"	"-"	"-"	"-"
"action: deposit"	"-"	"(Gutschrift)"	"Einzahlung"	"-"	"-"	"-"	"-"
"action: direct debit"	"When people can automatically deduct money straight from your account. The reverse of Direct Deposit."	"(Sol)l"	"Lastschrift"	"-"	"-"	"-"	"-"
"action: dist"	"transaction is a distribution (???)"	"-"	"Ausschüttung"	"-"	"-"	"-"	"-"
"action: div"	"transaction is a dividend"	"Dividende"	"-"	"-"	"-"	"-"	"-"
"action: fee"	"-"	"Gebühr"	"-"	"-"	"-"	"-"	"-"
"action: int"	"transaction comes from interest"	"(Beteiligung)"	"Zins"	"-"	"-"	"-"	"-"
"action: loan"	"-"	"Darlehen"	"-"	"-"	"-"	"-"	"-"
"action: payment"	"-"	"(Belastung)"	"Rechnung"	"-"	"-"	"-"	"-"
"action: POS"	"-"	"Karten-Terminal"	"-"	"-"	"-"	"-"	"-"
"action: rebate"	"-"	"Rabatt"	"-"	"-"	"-"	"-"	"-"
"action: sell"	"-"	"Verkauf"	"-"	"-"	"-"	"-"	"-"
"action: Teller"	"-"	"(Zähler)"	"Bankschalter"	"-"	"-"	"-"	"-"
"action: transfer"	"see: credit transfer"	"-"	"-"	"-"	"-"	"-"	"-"
"action: wire"	"-"	"(Telegrafische Zahlung)"	"Überweisung"	"-"	"-"	"-"	"-"
"action: withdraw"	"-"	"Abhebung"	"-"	"-"	"-"	"-"	"-"
"amount"	"A sum of money"	"Betrag"	"-"	"-"	"-"	"-"	"-"
"average"	"The result of adding several amounts together and then dividing this total by the number of amounts"	"Durchschnitt/Durchschnittlich"	"-"	"-"	"-"	"-"	"-"
"balance (noun)"	"The amount of money that is in one's account"	"Saldo"	"(Bestand, Kontostand?)"	"-"	"-"	"-"	"-"
"balance sheet"	"A written record of money received and paid out, showing the difference between the two total amounts"	"Bilanz"	"-"	"-"	"-"	"-"	"-"
"balance, to"	"To arrange for income and spending to be equal"	"Ausgleichen "	"-"	"-"	"-"	"-"	"-"
"bank"	"-"	"Bank"	"-"	"-"	"-"	"-"	"-"
"Business (adjective)"	"-"	"Geschäftlich"	"Geschäft/Geschäftlich"	"-"	"-"	"-"	"-"
"capital gains"	"Profits made from the sale of investments or property"	"Kapitalertrag"	"-"	"-"	"-"	"-"	"-"
